Municipios;Sexo;Periodo;Total
28113 Pinto;Hombres;2016;""
28113 Pinto;Hombres;2015;""
28113 Pinto;Hombres;2014;""
28113 Pinto;Mujeres;2021;23,24
28113 Pinto;Mujeres;2020;23,12
28113 Pinto;Mujeres;2019;22,58
28113 Pinto;Mujeres;2018;23,17
28113 Pinto;Mujeres;2017;23,19
28113 Pinto;Mujeres;2016;""
28113 Pinto;Mujeres;2015;""
28113 Pinto;Mujeres;2014;""
24115 Ponferrada;Ambos sexos;2021;21,56
24115 Ponferrada;Ambos sexos;2020;21,74
24115 Ponferrada;Ambos sexos;2019;21,4
24115 Ponferrada;Ambos sexos;2018;21,73
24115 Ponferrada;Ambos sexos;2017;21,78
24115 Ponferrada;Ambos sexos;2016;21,64
24115 Ponferrada;Ambos sexos;2015;21,51
24115 Ponferrada;Ambos sexos;2014;21,21
24115 Ponferrada;Hombres;2021;19,25
24115 Ponferrada;Hombres;2020;19,38
24115 Ponferrada;Hombres;2019;18,98
24115 Ponferrada;Hombres;2018;19,24
24115 Ponferrada;Hombres;2017;19,4
24115 Ponferrada;Hombres;2016;19,41
24115 Ponferrada;Hombres;2015;19,67
24115 Ponferrada;Hombres;2014;19,28
24115 Ponferrada;Mujeres;2021;23,7
24115 Ponferrada;Mujeres;2020;23,92
24115 Ponferrada;Mujeres;2019;23,65
24115 Ponferrada;Mujeres;2018;24,03
24115 Ponferrada;Mujeres;2017;23,98
24115 Ponferrada;Mujeres;2016;23,7
24115 Ponferrada;Mujeres;2015;23,15
24115 Ponferrada;Mujeres;2014;22,93
36038 Pontevedra;Ambos sexos;2021;21,59
36038 Pontevedra;Ambos sexos;2020;21,67
36038 Pontevedra;Ambos sexos;2019;21,63
36038 Pontevedra;Ambos sexos;2018;21,52
36038 Pontevedra;Ambos sexos;2017;21,48
36038 Pontevedra;Ambos sexos;2016;21,58
36038 Pontevedra;Ambos sexos;2015;21,54
36038 Pontevedra;Ambos sexos;2014;21,42
36038 Pontevedra;Hombres;2021;19,33
36038 Pontevedra;Hombres;2020;19,34
36038 Pontevedra;Hombres;2019;19,53
36038 Pontevedra;Hombres;2018;19,23
36038 Pontevedra;Hombres;2017;19,46
36038 Pontevedra;Hombres;2016;19,29
36038 Pontevedra;Hombres;2015;19,27
36038 Pontevedra;Hombres;2014;18,92
36038 Pontevedra;Mujeres;2021;23,46
36038 Pontevedra;Mujeres;2020;23,62
36038 Pontevedra;Mujeres;2019;23,35
36038 Pontevedra;Mujeres;2018;23,45
36038 Pontevedra;Mujeres;2017;23,13
36038 Pontevedra;Mujeres;2016;23,46
36038 Pontevedra;Mujeres;2015;23,4
36038 Pontevedra;Mujeres;2014;23,48
28115 Pozuelo de Alarcón;Ambos sexos;2021;22,29
28115 Pozuelo de Alarcón;Ambos sexos;2020;22,29
28115 Pozuelo de Alarcón;Ambos sexos;2019;22,39
28115 Pozuelo de Alarcón;Ambos sexos;2018;23,05
28115 Pozuelo de Alarcón;Ambos sexos;2017;22,92
28115 Pozuelo de Alarcón;Ambos sexos;2016;22,75
28115 Pozuelo de Alarcón;Ambos sexos;2015;22,64
28115 Pozuelo de Alarcón;Ambos sexos;2014;22,5
28115 Pozuelo de Alarcón;Hombres;2021;20,76
28115 Pozuelo de Alarcón;Hombres;2020;20,63
28115 Pozuelo de Alarcón;Hombres;2019;20,61
28115 Pozuelo de Alarcón;Hombres;2018;21,32
28115 Pozuelo de Alarcón;Hombres;2017;21,18
28115 Pozuelo de Alarcón;Hombres;2016;20,87
28115 Pozuelo de Alarcón;Hombres;2015;20,76
28115 Pozuelo de Alarcón;Hombres;2014;20,32
28115 Pozuelo de Alarcón;Mujeres;2021;23,6
28115 Pozuelo de Alarcón;Mujeres;2020;23,66
28115 Pozuelo de Alarcón;Mujeres;2019;23,83
28115 Pozuelo de Alarcón;Mujeres;2018;24,36
28115 Pozuelo de Alarcón;Mujeres;2017;24,23
28115 Pozuelo de Alarcón;Mujeres;2016;24,22
28115 Pozuelo de Alarcón;Mujeres;2015;24,19
28115 Pozuelo de Alarcón;Mujeres;2014;24,38
08169 Prat de Llobregat, El;Ambos sexos;2021;20,82
08169 Prat de Llobregat, El;Ambos sexos;2020;20,93
08169 Prat de Llobregat, El;Ambos sexos;2019;20,82
08169 Prat de Llobregat, El;Ambos sexos;2018;21,17
08169 Prat de Llobregat, El;Ambos sexos;2017;20,94
08169 Prat de Llobregat, El;Ambos sexos;2016;20,85
08169 Prat de Llobregat, El;Ambos sexos;2015;20,61
08169 Prat de Llobregat, El;Ambos sexos;2014;20,4
08169 Prat de Llobregat, El;Hombres;2021;18,66
08169 Prat de Llobregat, El;Hombres;2020;18,7
08169 Prat de Llobregat, El;Hombres;2019;18,8
08169 Prat de Llobregat, El;Hombres;2018;18,97
08169 Prat de Llobregat, El;Hombres;2017;18,6
08169 Prat de Llobregat, El;Hombres;2016;18,64
08169 Prat de Llobregat, El;Hombres;2015;18,57
08169 Prat de Llobregat, El;Hombres;2014;18,17
08169 Prat de Llobregat, El;Mujeres;2021;22,8
08169 Prat de Llobregat, El;Mujeres;2020;23,02
08169 Prat de Llobregat, El;Mujeres;2019;22,66
08169 Prat de Llobregat, El;Mujeres;2018;23,2
08169 Prat de Llobregat, El;Mujeres;2017;23,06
08169 Prat de Llobregat, El;Mujeres;2016;22,83
08169 Prat de Llobregat, El;Mujeres;2015;22,4
08169 Prat de Llobregat, El;Mujeres;2014;22,41
11027 Puerto de Santa María, El;Ambos sexos;2021;19,33
11027 Puerto de Santa María, El;Ambos sexos;2020;19,29
11027 Puerto de Santa María, El;Ambos sexos;2019;19,46
11027 Puerto de Santa María, El;Ambos sexos;2018;19,8
11027 Puerto de Santa María, El;Ambos sexos;2017;19,65
11027 Puerto de Santa María, El;Ambos sexos;2016;19,4
11027 Puerto de Santa María, El;Ambos sexos;2015;19,22
11027 Puerto de Santa María, El;Ambos sexos;2014;19,11
11027 Puerto de Santa María, El;Hombres;2021;17,51
11027 Puerto de Santa María, El;Hombres;2020;17,63
11027 Puerto de Santa María, El;Hombres;2019;17,77
11027 Puerto de Santa María, El;Hombres;2018;17,97
11027 Puerto de Santa María, El;Hombres;2017;17,84
11027 Puerto de Santa María, El;Hombres;2016;17,35
11027 Puerto de Santa María, El;Hombres;2015;17,24
11027 Puerto de Santa María, El;Hombres;2014;17,26
11027 Puerto de Santa María, El;Mujeres;2021;21,01
11027 Puerto de Santa María, El;Mujeres;2020;20,81
11027 Puerto de Santa María, El;Mujeres;2019;21
11027 Puerto de Santa María, El;Mujeres;2018;21,49
11027 Puerto de Santa María, El;Mujeres;2017;21,29
11027 Puerto de Santa María, El;Mujeres;2016;21,27
11027 Puerto de Santa María, El;Mujeres;2015;21,04
11027 Puerto de Santa María, El;Mujeres;2014;20,8
13071 Puertollano;Ambos sexos;2021;""
13071 Puertollano;Ambos sexos;2020;""
13071 Puertollano;Ambos sexos;2019;""
13071 Puertollano;Ambos sexos;2018;""
13071 Puertollano;Ambos sexos;2017;""
13071 Puertollano;Ambos sexos;2016;""
13071 Puertollano;Ambos sexos;2015;""
13071 Puertollano;Ambos sexos;2014;20,06
13071 Puertollano;Hombres;2021;""
13071 Puertollano;Hombres;2020;""
13071 Puertollano;Hombres;2019;""
13071 Puertollano;Hombres;2018;""
13071 Puertollano;Hombres;2017;""
13071 Puertollano;Hombres;2016;""
13071 Puertollano;Hombres;2015;""
13071 Puertollano;Hombres;2014;17,75
13071 Puertollano;Mujeres;2021;""
13071 Puertollano;Mujeres;2020;""
13071 Puertollano;Mujeres;2019;""
13071 Puertollano;Mujeres;2018;""
13071 Puertollano;Mujeres;2017;""
13071 Puertollano;Mujeres;2016;""
13071 Puertollano;Mujeres;2015;""
13071 Puertollano;Mujeres;2014;22,12
43123 Reus;Ambos sexos;2021;20,16
43123 Reus;Ambos sexos;2020;20,14
43123 Reus;Ambos sexos;2019;20,07
43123 Reus;Ambos sexos;2018;20,39
43123 Reus;Ambos sexos;2017;20,05
43123 Reus;Ambos sexos;2016;19,99
43123 Reus;Ambos sexos;2015;19,94
43123 Reus;Ambos sexos;2014;20,14
43123 Reus;Hombres;2021;17,94
43123 Reus;Hombres;2020;18,11
43123 Reus;Hombres;2019;18,08
43123 Reus;Hombres;2018;18,37
43123 Reus;Hombres;2017;17,82
43123 Reus;Hombres;2016;17,53
43123 Reus;Hombres;2015;17,4
43123 Reus;Hombres;2014;17,69
43123 Reus;Mujeres;2021;22,16
43123 Reus;Mujeres;2020;21,95
43123 Reus;Mujeres;2019;21,83
43123 Reus;Mujeres;2018;22,19
43123 Reus;Mujeres;2017;22,08
43123 Reus;Mujeres;2016;22,26
43123 Reus;Mujeres;2015;22,29
43123 Reus;Mujeres;2014;22,35
29082 Rincón de la Victoria;Ambos sexos;2021;19,83
29082 Rincón de la Victoria;Ambos sexos;2020;""
29082 Rincón de la Victoria;Ambos sexos;2019;""
29082 Rincón de la Victoria;Ambos sexos;2018;""
29082 Rincón de la Victoria;Ambos sexos;2017;""
29082 Rincón de la Victoria;Ambos sexos;2016;""
29082 Rincón de la Victoria;Ambos sexos;2015;""
29082 Rincón de la Victoria;Ambos sexos;2014;""
29082 Rincón de la Victoria;Hombres;2021;18,17
29082 Rincón de la Victoria;Hombres;2020;""
29082 Rincón de la Victoria;Hombres;2019;""
29082 Rincón de la Victoria;Hombres;2018;""
29082 Rincón de la Victoria;Hombres;2017;""
29082 Rincón de la Victoria;Hombres;2016;""
29082 Rincón de la Victoria;Hombres;2015;""
29082 Rincón de la Victoria;Hombres;2014;""
29082 Rincón de la Victoria;Mujeres;2021;21,39
29082 Rincón de la Victoria;Mujeres;2020;""
29082 Rincón de la Victoria;Mujeres;2019;""
29082 Rincón de la Victoria;Mujeres;2018;""
29082 Rincón de la Victoria;Mujeres;2017;""
29082 Rincón de la Victoria;Mujeres;2016;""
29082 Rincón de la Victoria;Mujeres;2015;""
29082 Rincón de la Victoria;Mujeres;2014;""
28123 Rivas-Vaciamadrid;Ambos sexos;2021;22,05
28123 Rivas-Vaciamadrid;Ambos sexos;2020;21,92
28123 Rivas-Vaciamadrid;Ambos sexos;2019;21,77
28123 Rivas-Vaciamadrid;Ambos sexos;2018;21,51
28123 Rivas-Vaciamadrid;Ambos sexos;2017;21,76
28123 Rivas-Vaciamadrid;Ambos sexos;2016;21,65
28123 Rivas-Vaciamadrid;Ambos sexos;2015;22,21
28123 Rivas-Vaciamadrid;Ambos sexos;2014;21,79
28123 Rivas-Vaciamadrid;Hombres;2021;20,74
28123 Rivas-Vaciamadrid;Hombres;2020;20,23
28123 Rivas-Vaciamadrid;Hombres;2019;19,84
28123 Rivas-Vaciamadrid;Hombres;2018;19,55
28123 Rivas-Vaciamadrid;Hombres;2017;19,85
28123 Rivas-Vaciamadrid;Hombres;2016;19,92
28123 Rivas-Vaciamadrid;Hombres;2015;20,66
28123 Rivas-Vaciamadrid;Hombres;2014;20,37
28123 Rivas-Vaciamadrid;Mujeres;2021;23,22
28123 Rivas-Vaciamadrid;Mujeres;2020;23,48
28123 Rivas-Vaciamadrid;Mujeres;2019;23,51
28123 Rivas-Vaciamadrid;Mujeres;2018;23,37
28123 Rivas-Vaciamadrid;Mujeres;2017;23,54
28123 Rivas-Vaciamadrid;Mujeres;2016;23,32
28123 Rivas-Vaciamadrid;Mujeres;2015;23,65
28123 Rivas-Vaciamadrid;Mujeres;2014;22,99
04079 Roquetas de Mar;Ambos sexos;2021;19,96
04079 Roquetas de Mar;Ambos sexos;2020;19,81
04079 Roquetas de Mar;Ambos sexos;2019;19,69
04079 Roquetas de Mar;Ambos sexos;2018;19,88
04079 Roquetas de Mar;Ambos sexos;2017;19,75
04079 Roquetas de Mar;Ambos sexos;2016;19,67
04079 Roquetas de Mar;Ambos sexos;2015;19,59
04079 Roquetas de Mar;Ambos sexos;2014;19,36
04079 Roquetas de Mar;Hombres;2021;18,19
04079 Roquetas de Mar;Hombres;2020;17,87
04079 Roquetas de Mar;Hombres;2019;17,73
04079 Roquetas de Mar;Hombres;2018;17,85
04079 Roquetas de Mar;Hombres;2017;17,93
04079 Roquetas de Mar;Hombres;2016;17,89
04079 Roquetas de Mar;Hombres;2015;17,77
04079 Roquetas de Mar;Hombres;2014;17,82
04079 Roquetas de Mar;Mujeres;2021;21,74
04079 Roquetas de Mar;Mujeres;2020;21,79
04079 Roquetas de Mar;Mujeres;2019;21,75
04079 Roquetas de Mar;Mujeres;2018;21,97
04079 Roquetas de Mar;Mujeres;2017;21,57
04079 Roquetas de Mar;Mujeres;2016;21,44
04079 Roquetas de Mar;Mujeres;2015;21,34
04079 Roquetas de Mar;Mujeres;2014;20,87
28127 Rozas de Madrid, Las;Ambos sexos;2021;22,26
28127 Rozas de Madrid, Las;Ambos sexos;2020;22,06
28127 Rozas de Madrid, Las;Ambos sexos;2019;21,96
28127 Rozas de Madrid, Las;Ambos sexos;2018;22,4
28127 Rozas de Madrid, Las;Ambos sexos;2017;22,26
28127 Rozas de Madrid, Las;Ambos sexos;2016;21,83
28127 Rozas de Madrid, Las;Ambos sexos;2015;21,45
28127 Rozas de Madrid, Las;Ambos sexos;2014;21,3
28127 Rozas de Madrid, Las;Hombres;2021;20,44
28127 Rozas de Madrid, Las;Hombres;2020;20,44
28127 Rozas de Madrid, Las;Hombres;2019;20,62
28127 Rozas de Madrid, Las;Hombres;2018;21,13
28127 Rozas de Madrid, Las;Hombres;2017;20,81
28127 Rozas de Madrid, Las;Hombres;2016;20,17
28127 Rozas de Madrid, Las;Hombres;2015;19,53
28127 Rozas de Madrid, Las;Hombres;2014;19,4
28127 Rozas de Madrid, Las;Mujeres;2021;23,75
28127 Rozas de Madrid, Las;Mujeres;2020;23,32
28127 Rozas de Madrid, Las;Mujeres;2019;23,04
28127 Rozas de Madrid, Las;Mujeres;2018;23,45
28127 Rozas de Madrid, Las;Mujeres;2017;23,48
28127 Rozas de Madrid, Las;Mujeres;2016;23,22
28127 Rozas de Madrid, Las;Mujeres;2015;23,1
28127 Rozas de Madrid, Las;Mujeres;2014;22,9
08184 Rubí;Ambos sexos;2021;20,68
08184 Rubí;Ambos sexos;2020;20,62
08184 Rubí;Ambos sexos;2019;20,49
08184 Rubí;Ambos sexos;2018;20,61
08184 Rubí;Ambos sexos;2017;20,54
08184 Rubí;Ambos sexos;2016;20,29
08184 Rubí;Ambos sexos;2015;20,21
08184 Rubí;Ambos sexos;2014;19,95
08184 Rubí;Hombres;2021;18,8
08184 Rubí;Hombres;2020;18,46
08184 Rubí;Hombres;2019;18,38
08184 Rubí;Hombres;2018;18,45
08184 Rubí;Hombres;2017;18,56
08184 Rubí;Hombres;2016;18,12
08184 Rubí;Hombres;2015;18,14
08184 Rubí;Hombres;2014;17,9
08184 Rubí;Mujeres;2021;22,33
08184 Rubí;Mujeres;2020;22,61
08184 Rubí;Mujeres;2019;22,44
08184 Rubí;Mujeres;2018;22,65
08184 Rubí;Mujeres;2017;22,4
08184 Rubí;Mujeres;2016;22,33
08184 Rubí;Mujeres;2015;22,09
08184 Rubí;Mujeres;2014;21,81
08187 Sabadell;Ambos sexos;2021;20,58
08187 Sabadell;Ambos sexos;2020;20,63
08187 Sabadell;Ambos sexos;2019;20,75
08187 Sabadell;Ambos sexos;2018;21,18
08187 Sabadell;Ambos sexos;2017;21,2
08187 Sabadell;Ambos sexos;2016;21,11
08187 Sabadell;Ambos sexos;2015;21,13
08187 Sabadell;Ambos sexos;2014;21,05
08187 Sabadell;Hombres;2021;18,07
08187 Sabadell;Hombres;2020;18,36
08187 Sabadell;Hombres;2019;18,55
08187 Sabadell;Hombres;2018;19,07
08187 Sabadell;Hombres;2017;18,95
08187 Sabadell;Hombres;2016;18,82
08187 Sabadell;Hombres;2015;18,98
08187 Sabadell;Hombres;2014;19,02
08187 Sabadell;Mujeres;2021;22,85
08187 Sabadell;Mujeres;2020;22,66
08187 Sabadell;Mujeres;2019;22,67
08187 Sabadell;Mujeres;2018;22,97
08187 Sabadell;Mujeres;2017;23,13
08187 Sabadell;Mujeres;2016;23,1
08187 Sabadell;Mujeres;2015;22,96
08187 Sabadell;Mujeres;2014;22,75
46220 Sagunt/Sagunto;Ambos sexos;2021;20,22
46220 Sagunt/Sagunto;Ambos sexos;2020;20,3
46220 Sagunt/Sagunto;Ambos sexos;2019;20,29
46220 Sagunt/Sagunto;Ambos sexos;2018;20,36
46220 Sagunt/Sagunto;Ambos sexos;2017;20,47
46220 Sagunt/Sagunto;Ambos sexos;2016;20,49
46220 Sagunt/Sagunto;Ambos sexos;2015;20,53
46220 Sagunt/Sagunto;Ambos sexos;2014;20,3
46220 Sagunt/Sagunto;Hombres;2021;18,03
46220 Sagunt/Sagunto;Hombres;2020;17,74
46220 Sagunt/Sagunto;Hombres;2019;17,63
46220 Sagunt/Sagunto;Hombres;2018;17,92
46220 Sagunt/Sagunto;Hombres;2017;18,42
46220 Sagunt/Sagunto;Hombres;2016;18,75
46220 Sagunt/Sagunto;Hombres;2015;18,65
46220 Sagunt/Sagunto;Hombres;2014;18,5
46220 Sagunt/Sagunto;Mujeres;2021;22,26
46220 Sagunt/Sagunto;Mujeres;2020;22,74
46220 Sagunt/Sagunto;Mujeres;2019;22,82
46220 Sagunt/Sagunto;Mujeres;2018;22,62
46220 Sagunt/Sagunto;Mujeres;2017;22,33
46220 Sagunt/Sagunto;Mujeres;2016;22,03
46220 Sagunt/Sagunto;Mujeres;2015;22,19
46220 Sagunt/Sagunto;Mujeres;2014;21,86
37274 Salamanca;Ambos sexos;2021;21,58
37274 Salamanca;Ambos sexos;2020;21,68
37274 Salamanca;Ambos sexos;2019;21,71
37274 Salamanca;Ambos sexos;2018;22,36
37274 Salamanca;Ambos sexos;2017;22,3
37274 Salamanca;Ambos sexos;2016;22,07
37274 Salamanca;Ambos sexos;2015;21,99
37274 Salamanca;Ambos sexos;2014;22
37274 Salamanca;Hombres;2021;19,09
37274 Salamanca;Hombres;2020;19,28
37274 Salamanca;Hombres;2019;19,38
37274 Salamanca;Hombres;2018;20,11
37274 Salamanca;Hombres;2017;20,03
37274 Salamanca;Hombres;2016;19,59
37274 Salamanca;Hombres;2015;19,33
37274 Salamanca;Hombres;2014;19,38
37274 Salamanca;Mujeres;2021;23,63
37274 Salamanca;Mujeres;2020;23,62
37274 Salamanca;Mujeres;2019;23,57
37274 Salamanca;Mujeres;2018;24,11
37274 Salamanca;Mujeres;2017;24,07
37274 Salamanca;Mujeres;2016;24,05
37274 Salamanca;Mujeres;2015;24,13
37274 Salamanca;Mujeres;2014;24,12
35019 San Bartolomé de Tirajana;Ambos sexos;2021;19,95
35019 San Bartolomé de Tirajana;Ambos sexos;2020;20,09
35019 San Bartolomé de Tirajana;Ambos sexos;2019;19,97
35019 San Bartolomé de Tirajana;Ambos sexos;2018;20,2
35019 San Bartolomé de Tirajana;Ambos sexos;2017;19,9
35019 San Bartolomé de Tirajana;Ambos sexos;2016;20,02
35019 San Bartolomé de Tirajana;Ambos sexos;2015;19,97
35019 San Bartolomé de Tirajana;Ambos sexos;2014;20,42
35019 San Bartolomé de Tirajana;Hombres;2021;18,19
35019 San Bartolomé de Tirajana;Hombres;2020;18,54
35019 San Bartolomé de Tirajana;Hombres;2019;18,5
35019 San Bartolomé de Tirajana;Hombres;2018;19,17
35019 San Bartolomé de Tirajana;Hombres;2017;18,79
35019 San Bartolomé de Tirajana;Hombres;2016;18,59
35019 San Bartolomé de Tirajana;Hombres;2015;18,41
35019 San Bartolomé de Tirajana;Hombres;2014;18,76
35019 San Bartolomé de Tirajana;Mujeres;2021;21,87
35019 San Bartolomé de Tirajana;Mujeres;2020;21,79
35019 San Bartolomé de Tirajana;Mujeres;2019;21,62
35019 San Bartolomé de Tirajana;Mujeres;2018;21,35
35019 San Bartolomé de Tirajana;Mujeres;2017;21,1
35019 San Bartolomé de Tirajana;Mujeres;2016;21,58
35019 San Bartolomé de Tirajana;Mujeres;2015;21,64
35019 San Bartolomé de Tirajana;Mujeres;2014;22,21
38023 San Cristóbal de La Laguna;Ambos sexos;2021;20,44
38023 San Cristóbal de La Laguna;Ambos sexos;2020;20,71
38023 San Cristóbal de La Laguna;Ambos sexos;2019;20,53
38023 San Cristóbal de La Laguna;Ambos sexos;2018;20,45
38023 San Cristóbal de La Laguna;Ambos sexos;2017;20,28
38023 San Cristóbal de La Laguna;Ambos sexos;2016;20,22
38023 San Cristóbal de La Laguna;Ambos sexos;2015;20,23
38023 San Cristóbal de La Laguna;Ambos sexos;2014;20,29
38023 San Cristóbal de La Laguna;Hombres;2021;18,54
38023 San Cristóbal de La Laguna;Hombres;2020;18,66
38023 San Cristóbal de La Laguna;Hombres;2019;18,24
38023 San Cristóbal de La Laguna;Hombres;2018;18,27
38023 San Cristóbal de La Laguna;Hombres;2017;18,05
38023 San Cristóbal de La Laguna;Hombres;2016;18,06
38023 San Cristóbal de La Laguna;Hombres;2015;18,09
38023 San Cristóbal de La Laguna;Hombres;2014;18,28
38023 San Cristóbal de La Laguna;Mujeres;2021;22,09
38023 San Cristóbal de La Laguna;Mujeres;2020;22,51
38023 San Cristóbal de La Laguna;Mujeres;2019;22,57
38023 San Cristóbal de La Laguna;Mujeres;2018;22,38
38023 San Cristóbal de La Laguna;Mujeres;2017;22,26
38023 San Cristóbal de La Laguna;Mujeres;2016;22,12
38023 San Cristóbal de La Laguna;Mujeres;2015;22,11
38023 San Cristóbal de La Laguna;Mujeres;2014;22,01
11031 San Fernando;Ambos sexos;2021;19,61
11031 San Fernando;Ambos sexos;2020;19,74
11031 San Fernando;Ambos sexos;2019;19,86
11031 San Fernando;Ambos sexos;2018;19,91
11031 San Fernando;Ambos sexos;2017;19,64
11031 San Fernando;Ambos sexos;2016;19,55
11031 San Fernando;Ambos sexos;2015;19,5
11031 San Fernando;Ambos sexos;2014;19,44
11031 San Fernando;Hombres;2021;17,55
11031 San Fernando;Hombres;2020;17,74
11031 San Fernando;Hombres;2019;17,98
11031 San Fernando;Hombres;2018;18,26
11031 San Fernando;Hombres;2017;17,92
11031 San Fernando;Hombres;2016;17,71
11031 San Fernando;Hombres;2015;17,48
11031 San Fernando;Hombres;2014;17,47
11031 San Fernando;Mujeres;2021;21,46
11031 San Fernando;Mujeres;2020;21,54
11031 San Fernando;Mujeres;2019;21,53
11031 San Fernando;Mujeres;2018;21,33
11031 San Fernando;Mujeres;2017;21,09
11031 San Fernando;Mujeres;2016;21,1
11031 San Fernando;Mujeres;2015;21,24
11031 San Fernando;Mujeres;2014;21,14
28134 San Sebastián de los Reyes;Ambos sexos;2021;21,19
28134 San Sebastián de los Reyes;Ambos sexos;2020;21,14
28134 San Sebastián de los Reyes;Ambos sexos;2019;21,17
28134 San Sebastián de los Reyes;Ambos sexos;2018;21,88
28134 San Sebastián de los Reyes;Ambos sexos;2017;21,69
28134 San Sebastián de los Reyes;Ambos sexos;2016;21,51
28134 San Sebastián de los Reyes;Ambos sexos;2015;21,34
28134 San Sebastián de los Reyes;Ambos sexos;2014;21,27
28134 San Sebastián de los Reyes;Hombres;2021;19,17
28134 San Sebastián de los Reyes;Hombres;2020;19,15
28134 San Sebastián de los Reyes;Hombres;2019;19,36
28134 San Sebastián de los Reyes;Hombres;2018;20,1
28134 San Sebastián de los Reyes;Hombres;2017;20,05
28134 San Sebastián de los Reyes;Hombres;2016;19,79
28134 San Sebastián de los Reyes;Hombres;2015;19,44
28134 San Sebastián de los Reyes;Hombres;2014;19,35
28134 San Sebastián de los Reyes;Mujeres;2021;23,13
28134 San Sebastián de los Reyes;Mujeres;2020;23,04
28134 San Sebastián de los Reyes;Mujeres;2019;22,84
28134 San Sebastián de los Reyes;Mujeres;2018;23,47
28134 San Sebastián de los Reyes;Mujeres;2017;23,18
28134 San Sebastián de los Reyes;Mujeres;2016;23,11
28134 San Sebastián de los Reyes;Mujeres;2015;23,05
28134 San Sebastián de los Reyes;Mujeres;2014;22,95
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2021;20,95
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2020;20,96
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2019;20,95
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2018;20,58
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2017;20,29
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2016;19,97
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2015;19,78
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Ambos sexos;2014;20,02
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2021;19,15
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2020;19,3
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2019;19,19
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2018;18,99
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2017;18,85
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2016;18,46
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2015;17,94
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Hombres;2014;18,13
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2021;22,65
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2020;22,5
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2019;22,58
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2018;22,02
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2017;21,56
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2016;21,34
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2015;21,51
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Mujeres;2014;21,82
11032 Sanlúcar de Barrameda;Ambos sexos;2021;19,41
11032 Sanlúcar de Barrameda;Ambos sexos;2020;19,42
11032 Sanlúcar de Barrameda;Ambos sexos;2019;19,57
11032 Sanlúcar de Barrameda;Ambos sexos;2018;19,41
11032 Sanlúcar de Barrameda;Ambos sexos;2017;19,38
11032 Sanlúcar de Barrameda;Ambos sexos;2016;18,99
11032 Sanlúcar de Barrameda;Ambos sexos;2015;18,97
11032 Sanlúcar de Barrameda;Ambos sexos;2014;18,66
11032 Sanlúcar de Barrameda;Hombres;2021;17,84
11032 Sanlúcar de Barrameda;Hombres;2020;17,75
11032 Sanlúcar de Barrameda;Hombres;2019;17,85
11032 Sanlúcar de Barrameda;Hombres;2018;17,57
11032 Sanlúcar de Barrameda;Hombres;2017;17,79
11032 Sanlúcar de Barrameda;Hombres;2016;17,37
11032 Sanlúcar de Barrameda;Hombres;2015;17,53
11032 Sanlúcar de Barrameda;Hombres;2014;16,99
11032 Sanlúcar de Barrameda;Mujeres;2021;20,87
11032 Sanlúcar de Barrameda;Mujeres;2020;20,99
11032 Sanlúcar de Barrameda;Mujeres;2019;21,12
11032 Sanlúcar de Barrameda;Mujeres;2018;21,13
11032 Sanlúcar de Barrameda;Mujeres;2017;20,85
11032 Sanlúcar de Barrameda;Mujeres;2016;20,49
11032 Sanlúcar de Barrameda;Mujeres;2015;20,26
11032 Sanlúcar de Barrameda;Mujeres;2014;20,14
08200 Sant Boi de Llobregat;Ambos sexos;2021;20,31
08200 Sant Boi de Llobregat;Ambos sexos;2020;20,41
08200 Sant Boi de Llobregat;Ambos sexos;2019;20,38
08200 Sant Boi de Llobregat;Ambos sexos;2018;20,94
08200 Sant Boi de Llobregat;Ambos sexos;2017;20,78
08200 Sant Boi de Llobregat;Ambos sexos;2016;20,59
08200 Sant Boi de Llobregat;Ambos sexos;2015;20,29
